label,text
1,Win money now click here
1,Claim your free prize today
1,Urgent your account is blocked
1,You won lottery contact now
1,Verify your bank details immediately
1,Reset your password now
1,Click link to claim reward
1,Free recharge offer click now
1,Your ATM card is suspended
1,You are selected for cashback
1,Your account needs verification
1,Update your KYC details now
1,Limited time offer claim reward
1,Get free gift vouchers today
1,Your account is compromised act now
1,You have won a cash prize
1,Click here to unlock your reward
1,Immediate action required verify account
1,Your debit card is blocked
1,You are eligible for free bonus
1,Claim your reward instantly
1,Act fast to get your prize
1,Your payment failed update details
1,You won 50000 rupees
1,Verify your identity now
1,Your account will be deactivated
1,Click to confirm your details
1,You are selected for special offer
1,Free data recharge available
1,Your bank account is locked
1,Urgent verify your account
1,You received a reward check now
1,Update your payment information
1,Get cashback now click link
1,Your account has unusual activity
1,Confirm your bank details now
1,You won exclusive gift claim now
1,Reset your login credentials
1,Click here for bonus reward
1,Your profile needs verification
1,Immediate update required
1,Your account is under review
1,Claim your free coupon now
1,Get your reward instantly
1,You are shortlisted for prize
1,Your card has been disabled
1,Verify now to avoid suspension
1,Click link to proceed
1,You have pending reward claim
1,Your banking access is restricted

0,Meeting tomorrow at 10am
0,Send me the report
0,Call me when free
0,Lunch at 2pm
0,Project submission tomorrow
0,Happy birthday have a great day
0,Let’s discuss the project
0,Your order has been delivered
0,Please check the document
0,Team meeting scheduled
0,Can we reschedule the meeting
0,I will call you later
0,Let us meet in the evening
0,Check the email I sent
0,Your package is arriving tomorrow
0,Let’s prepare for presentation
0,Thanks for your help
0,We will discuss this later
0,Join the meeting at 3pm
0,Assignment deadline is tomorrow
0,Please send the updated file
0,Call me after 5pm
0,Let’s go for lunch
0,Meeting has been postponed
0,Please review the code
0,Your delivery is out for delivery
0,Let's catch up this weekend
0,Send me the notes
0,We have a call today
0,Project discussion at 6pm
0,Please attend the meeting
0,Good morning have a nice day
0,Can you help me with this task
0,Let’s connect later
0,Submit your assignment
0,Your ticket has been confirmed
0,Let’s meet tomorrow
0,Please update the document
0,Call me once you are free
0,We have an event today
0,Let’s plan for weekend
0,Your order is confirmed
0,Check your email inbox
0,Meeting link shared
0,Please join the call
0,Let’s finalize the report
0,Your session starts at 9am
0,Please complete the task
0,Let’s discuss tomorrow
0,Reminder for today’s meeting
